lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,2799,-128.46701049804688,-127.67816925048828,-788.8413696289062,13,,,,,,,,,,,,,
,2807,,,,13,-6263.69091796875,-6240.1572265625,-23533.84375,37.839908599853516,,,,,,,,,
0.001,2819,,,,,,,,,,,,,,,,,
,2819,-14.589255332946777,-13.804506301879883,-784.7493896484375,13,,,,,,,,,,,,,
0.001,2839,,,,,,,,,,,,,,,,,
,2839,-127.78787994384766,-127.160400390625,-627.48095703125,13,,,,,,,,,,,,,
0.001,2859,,,,,,,,,,,,,,,,,
,2859,-214.80874633789062,-213.84744262695312,-961.3023681640625,13,,,,,,,,,,,,,
0.001,2879,,,,,,,,,,,,,,,,,
,2879,-256.2691345214844,-255.3119354248047,-957.1846923828125,13,,,,,,,,,,,,,
0.001,2899,,,,,,,,,,,,,,,,,
,2899,-227.34226989746094,-226.5804443359375,-761.823486328125,13,,,,,,,,,,,,,
,2911,,,,13,-6330.95654296875,-6307.255859375,-23700.423828125,37.804203033447266,,,,,,,,,
0.001,2919,,,,,,,,,,,,,,,,,
,2919,5.846303462982178,6.615478515625,-769.1751708984375,14,,,,,,,,,,,,,
0.001,2939,,,,,,,,,,,,,,,,,
,2939,-263.8746032714844,-262.97698974609375,-897.6271362304688,14,,,,,,,,,,,,,
0.001,2959,,,,,,,,,,,,,,,,,
,2959,-238.49119567871094,-237.69601440429688,-795.173828125,14,,,,,,,,,,,,,
0.001,2979,,,,,,,,,,,,,,,,,
,2979,-312.00579833984375,-310.98236083984375,-1023.42578125,14,,,,,,,,,,,,,
0.001,2999,,,,,,,,,,,,,,,,,
,2999,-182.50059509277344,-181.59963989257812,-900.9488525390625,14,,,,,,,,,,,,,
,3015,,,,14,-6272.02392578125,-6248.62890625,-23395.44140625,38.017723083496094,,,,,,,,,
0.001,3019,,,,,,,,,,,,,,,,,
,3019,-64.76148223876953,-64.00350189208984,-757.9820556640625,14,,,,,,,,,,,,,
0.001,3039,,,,,,,,,,,,,,,,,
,3039,-206.35183715820312,-205.46707153320312,-884.7594604492188,14,,,,,,,,,,,,,
0.001,3059,,,,,,,,,,,,,,,,,
,3059,-263.488037109375,-262.517333984375,-970.7001342773438,14,,,,,,,,,,,,,
0.001,3079,,,,,,,,,,,,,,,,,
,3079,-65.85820007324219,-65.34921264648438,-508.98541259765625,14,,,,,,,,,,,,,
0.001,3099,,,,,,,,,,,,,,,,,
,3099,-80.17333984375,-79.44636535644531,-726.9732666015625,14,,,,,,,,,,,,,
0.001,3119,,,,,,,,,,,,,,,,,
,3119,-86.9053955078125,-86.31522369384766,-590.1715698242188,14,,,,,,,,,,,,,
,3119,,,,14,-6319.79833984375,-6296.20556640625,-23593.884765625,37.77621078491211,,,,,,,,,
0.001,3139,,,,,,,,,,,,,,,,,
,3139,-133.2165069580078,-132.58941650390625,-627.090087890625,15,,,,,,,,,,,,,
0.001,3159,,,,,,,,,,,,,,,,,
,3159,-237.91421508789062,-237.0743408203125,-839.8687744140625,15,,,,,,,,,,,,,
0.001,3179,,,,,,,,,,,,,,,,,
,3179,-102.86161804199219,-102.18255615234375,-679.06005859375,15,,,,,,,,,,,,,
0.001,3199,,,,,,,,,,,,,,,,,
,3199,36.84968948364258,37.53734588623047,-687.6576538085938,15,,,,,,,,,,,,,
0.001,3219,,,,,,,,,,,,,,,,,
,3219,-235.7049102783203,-234.9829559326172,-721.9525146484375,15,,,,,,,,,,,,,
